year,lat,lon,anomaly_C
1950,-69.74,-33.12,-1.728
1950,-69.74,-28.12,-1.492
1950,-69.74,-23.12,-1.096
1950,-69.74,-18.12,-0.327
1950,-69.74,-13.12,0.233
1950,-69.74,-8.12,0.571
1950,-69.74,-3.12,0.66
1950,-69.74,1.88,0.739
1950,-69.74,6.88,0.71
1950,-69.74,11.88,0.695
1950,-69.74,16.88,0.763
1950,-69.74,21.88,0.737
1950,-69.74,26.88,0.59
1950,-69.74,31.88,0.477
1950,-69.74,36.88,0.35
1950,-69.74,41.88,0.369
1950,-69.74,46.88,0.499
1950,-69.74,51.88,0.526
1950,-69.74,56.88,0.448
1950,-69.74,61.88,0.361
1950,-69.74,66.88,0.285
1950,-69.74,71.88,-0.079
1950,-69.74,76.88,0.165
1950,-69.74,81.88,0.467
1950,-69.74,86.88,0.615
1950,-69.74,91.88,0.608
1950,-69.74,96.88,0.435
1950,-69.74,101.88,0.153
1950,-69.74,106.88,-0.168
1950,-69.74,111.88,-0.413
1950,-69.74,116.88,-0.331
1950,-69.74,121.88,-0.232
1950,-69.74,126.88,-0.207
1950,-69.74,131.88,-0.248
1950,-69.74,136.88,-0.331
1950,-69.74,141.88,-0.497
1950,-69.74,146.88,-0.644
1950,-69.74,151.88,-0.672
1950,-69.74,156.88,-0.837
1950,-69.74,161.88,-1.189
1950,-69.74,166.88,-1.47
1950,-69.74,171.88,-1.743
1950,-69.74,176.88,-1.896
1950,-65.97,-178.12,-0.444
1950,-65.97,-173.12,-0.403
1950,-65.97,-168.12,-0.429
1950,-65.97,-163.12,-0.492
1950,-65.97,-158.12,-0.4
1950,-65.97,-153.12,-0.248
1950,-65.97,-148.12,-0.07
1950,-65.97,-143.12,0.048
1950,-65.97,-138.12,0.083
1950,-65.97,-133.12,0.12
1950,-65.97,-128.12,0.211
1950,-65.97,-123.12,0.336
1950,-65.97,-118.12,0.441
1950,-65.97,-113.12,0.517
1950,-65.97,-108.12,0.598
1950,-65.97,-103.12,0.589
1950,-65.97,-98.12,0.475
1950,-65.97,-93.12,0.35
1950,-65.97,-88.12,0.205
1950,-65.97,-83.12,-0.061
1950,-65.97,-78.12,-0.191
1950,-65.97,-73.12,-0.238
1950,-65.97,-68.12,-0.581
1950,-65.97,-63.12,-1.175
1950,-65.97,-58.12,-1.977
1950,-65.97,-53.12,-2.076
1950,-65.97,-48.12,-1.992
1950,-65.97,-43.12,-1.694
1950,-65.97,-38.12,-1.536
1950,-65.97,-33.12,-1.559
1950,-65.97,-28.12,-1.478
1950,-65.97,-23.12,-1.342
1950,-65.97,-18.12,-1.046
1950,-65.97,-13.12,-0.608
1950,-65.97,-8.12,-0.182
1950,-65.97,-3.12,0.069
1950,-65.97,1.88,0.192
1950,-65.97,6.88,0.378
1950,-65.97,11.88,0.626
1950,-65.97,16.88,0.864
1950,-65.97,21.88,1.092
1950,-65.97,26.88,1.153
1950,-65.97,31.88,1.021
1950,-65.97,36.88,0.835
1950,-65.97,41.88,0.387
1950,-65.97,46.88,-0.172
1950,-65.97,51.88,-0.334
1950,-65.97,56.88,-0.472
1950,-65.97,61.88,-0.52
1950,-65.97,66.88,-0.735
1950,-65.97,71.88,-0.843
1950,-65.97,76.88,-0.627
1950,-65.97,81.88,-0.28
1950,-65.97,86.88,-0.091
1950,-65.97,91.88,-0.122
1950,-65.97,96.88,-0.052
1950,-65.97,101.88,-0.118
1950,-65.97,106.88,-0.226
1950,-65.97,111.88,-0.277
1950,-65.97,116.88,-0.379
1950,-65.97,121.88,-0.509
1950,-65.97,126.88,-0.803
1950,-65.97,131.88,-0.862
1950,-65.97,136.88,-0.897
1950,-65.97,141.88,-1.074
1950,-65.97,146.88,-1.34
1950,-65.97,151.88,-1.345
1950,-65.97,156.88,-1.321
1950,-65.97,161.88,-1.167
1950,-65.97,166.88,-1.041
1950,-65.97,171.88,-0.859
1950,-65.97,176.88,-0.603
1950,-62.2,-178.12,0.124
1950,-62.2,-173.12,0.203
1950,-62.2,-168.12,0.25
1950,-62.2,-163.12,0.239
1950,-62.2,-158.12,0.242
1950,-62.2,-153.12,0.296
1950,-62.2,-148.12,0.404
1950,-62.2,-143.12,0.472
1950,-62.2,-138.12,0.394
1950,-62.2,-133.12,0.368
1950,-62.2,-128.12,0.476
1950,-62.2,-123.12,0.478
1950,-62.2,-118.12,0.444
1950,-62.2,-113.12,0.37
1950,-62.2,-108.12,0.312
1950,-62.2,-103.12,0.294
1950,-62.2,-98.12,0.229
1950,-62.2,-93.12,0.148
1950,-62.2,-88.12,0.037
1950,-62.2,-83.12,-0.026
1950,-62.2,-78.12,-0.113
1950,-62.2,-73.12,-0.177
1950,-62.2,-68.12,-0.326
1950,-62.2,-63.12,-0.572
1950,-62.2,-58.12,-0.916
1950,-62.2,-53.12,-1.568
1950,-62.2,-48.12,-1.857
1950,-62.2,-43.12,-1.783
1950,-62.2,-38.12,-1.497
1950,-62.2,-33.12,-1.145
1950,-62.2,-28.12,-0.971
1950,-62.2,-23.12,-0.847
1950,-62.2,-18.12,-0.63
1950,-62.2,-13.12,-0.413
1950,-62.2,-8.12,-0.25
1950,-62.2,-3.12,-0.086
1950,-62.2,1.88,0.053
1950,-62.2,6.88,0.178
1950,-62.2,11.88,0.398
1950,-62.2,16.88,0.753
1950,-62.2,21.88,1.077
1950,-62.2,26.88,1.182
1950,-62.2,31.88,1.182
1950,-62.2,36.88,1.118
1950,-62.2,41.88,0.954
1950,-62.2,46.88,0.633
1950,-62.2,51.88,0.202
1950,-62.2,56.88,-0.047
1950,-62.2,61.88,-0.255
1950,-62.2,66.88,-0.698
1950,-62.2,71.88,-1.019
1950,-62.2,76.88,-0.906
1950,-62.2,81.88,-0.717
1950,-62.2,86.88,-0.309
1950,-62.2,91.88,0.002
1950,-62.2,96.88,-0.006
1950,-62.2,101.88,0.011
1950,-62.2,106.88,0.05
1950,-62.2,111.88,0.06
1950,-62.2,116.88,-0.01
1950,-62.2,121.88,-0.259
1950,-62.2,126.88,-0.539
1950,-62.2,131.88,-0.774
1950,-62.2,136.88,-0.826
1950,-62.2,141.88,-0.647
1950,-62.2,146.88,-0.456
1950,-62.2,151.88,-0.399
1950,-62.2,156.88,-0.4
1950,-62.2,161.88,-0.382
1950,-62.2,166.88,-0.274
1950,-62.2,171.88,-0.092
1950,-62.2,176.88,0.018
1950,-58.43,-178.12,0.167
1950,-58.43,-173.12,0.251
1950,-58.43,-168.12,0.323
1950,-58.43,-163.12,0.385
1950,-58.43,-158.12,0.462
1950,-58.43,-153.12,0.526
1950,-58.43,-148.12,0.544
1950,-58.43,-143.12,0.561
1950,-58.43,-138.12,0.564
1950,-58.43,-133.12,0.447
1950,-58.43,-128.12,0.421
1950,-58.43,-123.12,0.438
1950,-58.43,-118.12,0.409
1950,-58.43,-113.12,0.383
1950,-58.43,-108.12,0.35
1950,-58.43,-103.12,0.299
1950,-58.43,-98.12,0.245
1950,-58.43,-93.12,0.193
1950,-58.43,-88.12,0.165
1950,-58.43,-83.12,0.153
1950,-58.43,-78.12,0.108
1950,-58.43,-73.12,0.018
1950,-58.43,-68.12,-0.103
1950,-58.43,-63.12,-0.208
1950,-58.43,-58.12,-0.295
1950,-58.43,-53.12,-0.462
1950,-58.43,-48.12,-0.707
1950,-58.43,-43.12,-0.851
1950,-58.43,-38.12,-0.892
1950,-58.43,-33.12,-0.753
1950,-58.43,-28.12,-0.579
1950,-58.43,-23.12,-0.539
1950,-58.43,-18.12,-0.388
1950,-58.43,-13.12,-0.191
1950,-58.43,-8.12,0.021
1950,-58.43,-3.12,0.153
1950,-58.43,1.88,0.178
1950,-58.43,6.88,0.177
1950,-58.43,11.88,0.23
1950,-58.43,16.88,0.296
1950,-58.43,21.88,0.397
1950,-58.43,26.88,0.486
1950,-58.43,31.88,0.556
1950,-58.43,36.88,0.569
1950,-58.43,41.88,0.55
1950,-58.43,46.88,0.508
1950,-58.43,51.88,0.451
1950,-58.43,56.88,0.338
1950,-58.43,61.88,0.208
1950,-58.43,66.88,-0.024
1950,-58.43,71.88,-0.47
1950,-58.43,76.88,-0.766
1950,-58.43,81.88,-0.728
