lat,lon,lst_start,lst_end,change_C
56.15,-130.35,3.66,8.9,5.24
56.15,-68.75,17.44,24.33,6.889999999999997
56.15,-67.95,17.17,22.4,5.229999999999997
56.15,-67.15,17.17,22.68,5.509999999999998
56.15,-66.35,19.09,24.61,5.52
56.15,-64.75,17.44,23.78,6.34
56.15,-62.35,18.82,24.61,5.789999999999999
56.15,-4.75,6.42,13.31,6.890000000000001
56.15,108.85,13.03,18.82,5.790000000000001
56.95,-132.75,9.45,15.51,6.0600000000000005
56.95,-129.55,14.69,20.2,5.51
56.95,-67.95,17.72,23.23,5.510000000000002
56.95,-67.15,20.75,25.98,5.23
56.95,-66.35,19.37,24.61,5.239999999999998
56.95,-64.75,20.2,25.71,5.510000000000002
56.95,-63.95,18.27,24.33,6.059999999999999
56.95,-62.35,15.24,21.57,6.33
56.95,-61.55,16.89,23.23,6.34
57.75,-62.35,17.99,23.78,5.790000000000003
58.55,-131.95,16.34,21.57,5.23
58.55,-119.15,21.85,29.29,7.439999999999998
58.55,-69.55,17.72,23.5,5.780000000000001
59.35,-151.15,11.38,17.72,6.339999999999998
59.35,-138.35,1.18,6.97,5.79
59.35,-136.75,3.66,10.83,7.17
59.35,-135.95,13.03,19.65,6.619999999999999
59.35,-134.35,11.93,17.99,6.059999999999999
59.35,-133.55,9.45,16.61,7.16
59.35,-132.75,16.89,24.06,7.169999999999998
59.35,137.65,23.5,30.39,6.890000000000001
60.15,-153.55,5.87,11.93,6.06
60.15,-142.35,8.9,14.13,5.23
60.15,-137.55,14.96,20.47,5.509999999999998
60.15,-135.95,11.93,19.37,7.440000000000001
60.15,-134.35,10.83,17.99,7.159999999999998
60.15,-132.75,12.48,18.27,5.789999999999999
60.15,-131.95,14.41,21.57,7.16
60.15,-119.95,26.54,32.05,5.509999999999998
60.15,-64.75,16.06,21.3,5.240000000000002
60.95,-159.95,15.79,21.3,5.510000000000002
60.95,-157.55,15.24,20.47,5.229999999999999
60.95,-143.15,12.2,17.99,5.789999999999999
60.95,-142.35,11.93,17.44,5.510000000000002
60.95,-141.55,11.1,17.17,6.070000000000002
60.95,-139.15,7.24,13.31,6.07
60.95,-136.75,14.96,20.2,5.239999999999998
60.95,-135.95,16.06,21.85,5.790000000000003
60.95,-135.15,14.96,21.57,6.609999999999999
60.95,-134.35,14.13,21.3,7.17
60.95,-132.75,15.51,21.85,6.340000000000002
61.75,-154.35,12.48,17.72,5.239999999999998
61.75,-143.95,12.48,17.72,5.239999999999998
61.75,-139.95,15.51,21.57,6.0600000000000005
61.75,-139.15,13.58,19.92,6.340000000000002
61.75,-138.35,17.17,22.4,5.229999999999997
61.75,-137.55,17.17,22.4,5.229999999999997
61.75,-136.75,17.72,23.5,5.780000000000001
61.75,-135.95,17.99,24.33,6.34
61.75,-135.15,16.06,22.13,6.07
61.75,-134.35,16.34,23.78,7.440000000000001
61.75,-133.55,13.31,20.75,7.4399999999999995
61.75,-132.75,14.13,21.02,6.889999999999999
61.75,-131.95,17.17,22.68,5.509999999999998
61.75,-131.15,17.44,22.68,5.239999999999998
61.75,-129.55,15.51,22.13,6.619999999999999
61.75,-128.75,13.86,19.09,5.23
61.75,5.65,5.59,13.58,7.99
62.55,-155.15,16.61,22.68,6.07
62.55,-146.35,14.41,19.65,5.239999999999998
62.55,-142.35,15.79,21.02,5.23
62.55,-141.55,18.82,24.88,6.059999999999999
62.55,-140.75,17.17,24.06,6.889999999999997
62.55,-139.95,17.44,22.68,5.239999999999998
62.55,-139.15,17.72,23.23,5.510000000000002
62.55,-138.35,16.61,22.13,5.52
